"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","65/1870","149/6792",0.436241610738255,1.58446685568675,4.44618736067341,1.47621517145259e-05,0.000442342720686133,0.000307284947784391,"LRP1/NR1H2/VPS39/RXRA/SIRPA/DUSP7/VPS18/RAB14/S1PR1/CAMK2D/BSG/STAB1/RAB5B/ARNT/CAMK2G/DUSP5/RAB5A/MFGE8/ITGB3/PECAM1/TGFB1/THBS1/PTPN11/CX3CR1/MAP2K2/DOCK1/XKR6/ELMO1/MAPK1/AXL/TYRO3/PTGER2/RAB7B/SGK1/MERTK/ATP2A3/CD36/ADAM17/ANO6/NR1H3/ATP2A2/CREB1/P2RY12/MAPKAPK2/CRK/CH25H/BCAR1/CX3CL1/PTGS2/JAK2/EPO/CAMK2A/TGFBRAP1/PPARG/MAPK14/ADAM9/P2RY2/GULP1/PBX1/SIGLEC10/ATP2A1/STAB2/ARG1/C1QC/TIMD4",65
"Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","66/1870","152/6792",0.434210526315789,1.57708978328173,4.43504472480961,1.52971546058605e-05,0.000442342720686133,0.000307284947784391,"ITPR1/RHOA/ATP2B4/MEF2C/PDE2A/GNAQ/MYL9/EDNRB/ATP1A2/GNAI2/ADCY9/VDAC1/VASP/MEF2D/PRKCE/CALM1/CREB3/ADRB2/NPR1/ADCY6/MAP2K2/EDNRA/ADCY4/PPP3CB/ATP1B2/KCNMB1/MAPK1/ADRA1A/PPP3CC/GATA4/GNA13/SLC8A1/CREB3L2/AKT3/ATP2A3/PRKG1/ITPR2/MYLK/PDE3A/CALML6/ATP2A2/INSR/CREB1/ATF6B/ADRA1B/CREB3L1/SLC25A6/AGTR1/SRF/NOS3/GTF2I/PPIF/NPR2/CACNA1C/ATP2B2/IRS1/PLN/ADRA2A/ADCY5/PIK3R5/ATP2A1/MYH7/PIK3CG/BDKRB2/ADRB1/ADORA3",66
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","96/1870","241/6792",0.398340248962656,1.44680586682051,4.35301789389124,1.73688879663536e-05,0.000463615701871131,0.000322062780914573,"ITPR1/ATP2B4/PLCD3/ITPKB/GNAQ/PRKCB/EDNRB/STIM1/FGFR1/PDGFA/NTRK3/ADCY9/PRKCA/VDAC1/CAMK1/PLCD1/TPCN1/FGFR2/CAMK2D/NTRK2/PTK2B/PRKACB/CAMK2G/GNAS/CALM1/PDE1B/ADRB2/MCOLN1/GNAL/PDGFRB/EDNRA/ADCY4/PPP3CB/FGF2/PDE1A/PDGFC/PTGER3/TBXA2R/CASQ2/GRIN1/ADRA1A/PPP3CC/ERBB2/SLC8A1/ATP2A3/PTGFR/TFEB/ITPR2/FGF1/MYLK/CALML6/RYR1/P2RX7/ATP2A2/CASQ1/ADRA1B/FGF10/FGF7/SLC25A6/AGTR1/ASPH/PDGFB/EGFR/P2RX5/HRC/NOS3/FGFR3/PPIF/CHRM2/TACR1/PDGFD/NGF/GRIN2A/CACNA1C/CAMK2A/HRH1/ATP2B2/SLN/TNNC1/PLN/PLCD4/TNNC2/FLT1/CHRM3/PDGFRA/PLCE1/HTR2A/P2RX1/ATP2A1/GRM5/AVPR1A/ITPKA/BDKRB2/ADRB1/GRM1/TRDN",96
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","42/1870","87/6792",0.482758620689655,1.75342061589526,4.35927833073636,2.74378747537223e-05,0.000680067324252974,0.000472426565308452,"RHOA/TGFBR2/TCF7L2/ACTB/MYL9/WASF2/FGFR1/CTNNB1/SORBS1/HEG1/WASL/RAP1A/SMAD3/CTNNA1/NECTIN2/SMURF1/CSNK2B/MYL10/IQGAP1/MYL5/RASIP1/MAPK1/TCF7L1/PTPRM/ACTN1/SRC/CTNNA3/ERBB2/VCL/INSR/IGF1R/EGFR/PTPRB/CDH5/PTPRJ/RAC2/LEF1/FYN/BAIAP2/MYL2/TCF7/WASF3",42
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","56/1870","126/6792",0.444444444444444,1.61426024955437,4.28965034355226,2.9887985137593e-05,0.000691408722849652,0.000480305164667284,"GSTM4/RHOA/PIK3R1/MEF2C/GSTM1/ACTB/GSTM2/FOS/GSTM3/DUSP1/MAP2K4/PDGFA/TXN2/CTNNB1/SQSTM1/KLF2/HSP90AB1/IKBKB/TNFRSF1A/MAP3K5/ITGB3/CALM1/NFKB1/BMPR2/PECAM1/ICAM1/BCL2/HMOX1/SRC/JUN/AKT3/BMP4/MAP2K5/GPC1/CALML6/THBD/PDGFB/CAV2/IL1R1/BMPR1B/NOS3/MMP2/PIK3CD/CDH5/SDC2/SELE/RAC2/MAPK14/TP53/EDN1/NFE2L2/ARHGEF2/ASS1/IL1R2/PLAT/GSTT1",56
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","49/1870","107/6792",0.457943925233645,1.66329151881653,4.26248134299472,3.594052065768e-05,0.000779460041763435,0.000541472317803205,"RHOA/PIK3R1/ACTB/MYL9/PRKCB/GNAI2/CD99/PXN/RAPGEF3/CTNNB1/PRKCA/CXCL12/RAP1A/CTNNA1/VASP/CD99L2/PTK2B/ARHGAP35/ESAM/JAM2/PECAM1/PTPN11/MYL10/EZR/MYL5/MSN/ICAM1/ACTN1/CTNNA3/VCL/VAV3/JAM3/THY1/SIPA1/ITGB2/BCAR1/ITGAM/MMP2/PIK3CD/CDH5/CYBB/NCF4/RAC2/ITGAL/MAPK14/CLDN5/ITGB1/MYL2/RASSF5",49
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","87/1870","218/6792",0.399082568807339,1.4495020360104,4.15778400279928,3.94992431442748e-05,0.000784011994596713,0.000544634450971173,"RHOA/IQSEC1/TGFBR2/ARPC4/EHD2/CAPZB/EHD1/ARFGAP2/CLTB/GBF1/PDCD6IP/BIN1/DNM2/CYTH3/GRK2/SNX1/WASL/VPS28/PSD4/RABEP1/SMAD3/ARRB1/FGFR2/WIPF3/CHMP4B/LDLRAP1/RNF41/GIT1/GIT2/RAB5B/ACTR2/RAB35/SH3KBP1/RAB11FIP5/RAB5A/SMURF1/ARF3/PLD1/ARPC2/ITCH/PIP5K1A/AP2B1/AP2M1/CYTH1/EHD3/PIP5K1C/IGF2R/CHMP6/RAB31/PML/WIPF1/SRC/ACAP1/HLA-E/RAB11B/IQSEC3/IQSEC2/ASAP3/GRK5/EPS15L1/ZFYVE16/IGF1R/AP2A1/ARFGEF2/CAV2/ARRB2/SH3GLB2/EGFR/ASAP1/HSPA1L/ARFGAP1/DAB2/FGFR3/HLA-G/CYTH4/IL2RG/CBL/SNX12/SMAP2/LDLR/STAM2/EEA1/AGAP2/PDGFRA/HLA-B/FOLR3/CXCR2",87
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","51/1870","113/6792",0.451327433628319,1.63925985518906,4.22355151723019,4.0669210094354e-05,0.000784011994596713,0.000544634450971173,"NOTCH2/PIK3R1/NCOR1/RXRA/ACTB/PLCD3/NCOA1/PRKCB/ATP1A2/NCOA3/SLC9A1/CTNNB1/PRKCA/TSC2/MED16/PLCD1/KAT2B/FOXO1/NOTCH1/PRKACB/THRB/ITGB3/MAP2K2/NCOA2/ATP1B2/RCAN1/MAPK1/RXRB/SRC/GATA4/NOTCH3/AKT3/BMP4/ATP2A3/PFKM/TBC1D4/SLC16A2/ATP2A2/CCND1/PIK3CD/DIO2/PLN/TP53/PLCD4/MYC/THRA/PLCE1/ATP2A1/SLCO1C1/MYH7/RCAN2",51
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","53/1870","120/6792",0.441666666666667,1.60417112299465,4.11565944986168,5.96371518444623e-05,0.00108916272052781,0.000756615389051627,"ITPR1/RHOA/CALD1/PRKCD/PPP1R12B/GNAQ/MYL9/PRKCB/MYH11/RAMP2/ARAF/ADCY9/PRKCA/PRKACB/PPP1R14A/GNAS/PRKCE/CALM1/MYH9/NPR1/ADCY6/MAP2K2/EDNRA/ADCY4/PRKCH/KCNMB1/PLA2G2A/MAPK1/ADRA1A/GNA13/RAMP1/RAMP3/PRKG1/ITPR2/PRKCQ/MYLK/CALML6/PLA2G5/PTGIR/ADRA1B/AGTR1/ACTG2/ACTA2/EDN3/PLA2G4C/NPR2/CACNA1C/PLA2G4A/CALCRL/EDN1/ADCY5/AVPR1A/AGT",53
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","105/1870","276/6792",0.380434782608696,1.38177168100442,3.99102618569685,6.91101329905009e-05,0.00119906080738519,0.000832958971306563,"RRAS/MEF2C/TGFBR2/DUSP3/CSF1/MAX/DUSP7/RPS6KA4/GADD45B/RASGRP2/MAPKAPK3/RPS6KA2/FOS/NFKB2/PRKCB/DUSP1/MAP2K4/FGFR1/PDGFA/CSF1R/ARAF/MRAS/PRKCA/RAP1A/ARRB1/MKNK2/FGFR2/NTRK2/MAP3K1/IGF1/NR4A1/PRKACB/IKBKB/SOS2/DUSP5/TNFRSF1A/FAS/MAP3K5/TGFB3/NFKB1/TGFB1/PDGFRB/MAP2K2/MAP3K3/PPP3CB/RAPGEF2/FGF2/JUND/PDGFC/MAPK1/CACNB2/TAOK2/STK4/PPP3CC/CACNB1/ERBB2/JUN/AKT3/RELB/FLNA/MAP2K5/FGF1/SOS1/MAP3K2/EPHA2/TAOK1/INSR/FGF10/FGF7/IGF1R/MAPKAPK2/PDGFB/IL1R1/EREG/ARRB2/EGFR/SRF/HSPA1L/CRK/PTPN5/RASGRF1/RASA2/FGFR3/PLA2G4C/PDGFD/NGF/CACNA1C/GNG12/PTPN7/TEK/RAC2/MAPK14/PLA2G4A/DUSP6/TP53/EFNA5/MYC/FLT1/PDGFRA/MAPT/RASGRP4/CACNG3/HSPB1/NGFR/CD14",105
"Human Diseases","Cancer: overview","hsa05200","Pathways in cancer","173/1870","493/6792",0.350912778904665,1.27454523760454,3.9013816226677,8.1753732562727e-05,0.00135088310472696,0.00093842630360223,"ZBTB16/NOTCH2/GSTM4/RHOA/STAT6/PIK3R1/IL6ST/TGFBR2/RXRA/EPAS1/GSTM1/TCF7L2/STAT3/MAX/LAMB2/AR/GLI3/GSTM2/GNG7/GADD45B/RASGRP2/NCOA1/GNAQ/FOS/GSTM3/NFKB2/RASSF1/PRKCB/LPAR1/CCND2/IL6R/EDNRB/JAK1/GNAI2/NCOA3/FGFR1/PDGFA/STAT5B/RALB/CSF1R/ARAF/ADCY9/CTNNB1/PRKCA/CXCL12/SMAD3/CTNNA1/FOXO1/FGFR2/NOTCH1/CAMK2D/CYCS/LAMA2/SP1/HSP90AB1/LAMA4/ARNT/IGF1/PRKACB/CAMK2G/IKBKB/SOS2/GNAS/FAS/BCL2L1/JAK3/TGFB3/CALM1/NFKB1/MITF/PLD1/TGFB1/ADCY6/PDGFRB/MAP2K2/EDNRA/ADCY4/STAT2/FGF2/BCR/APC/PTGER3/NFKBIA/CCND3/MAPK1/TCF7L1/LPAR4/PML/RXRB/BCL2/IFNGR1/HMOX1/GNG11/CTNNA3/APPL1/STK4/RARB/PTGER2/CTBP1/DAPK1/GNA13/ERBB2/ETS1/NOTCH3/JUN/AKT3/BMP4/IL4R/CSF2RA/RALGDS/FGF1/SOS1/TPM3/CALML6/RARA/WNT7B/PAX8/FN1/APC2/FGF10/ITGA6/FGF7/IGF1R/AGTR1/JAG1/CCND1/PDGFB/EGFR/TPR/CRK/ZBTB17/TXNRD2/SUFU/PTGS2/COL4A3/MMP2/FGFR3/PIK3CD/JAK2/EPO/COL4A2/IL2RG/CBL/GNG12/CAMK2A/RAC2/PPARG/GNG2/ESR2/ITGA2/CEBPA/TP53/EDN1/ADCY5/LEF1/MYC/NFE2L2/GNG13/IL13RA1/GNG3/PDGFRA/RASGRP4/SPI1/ITGB1/TCF7/RB1/AGT/HHIP/COL4A4/GSTT1/BDKRB2/FZD7/RASSF5",173
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","32/1870","64/6792",0.5,1.81604278074866,4.04274907574259,0.000105079882557663,0.00154301988239854,0.00107189914475737,"ACTB/EIF4G1/SSPN/DAG1/CYCS/LAMA2/ICAM1/SNTA1/HLA-E/SNTB2/CD55/SGCA/DMD/CD28/ITGB2/EIF4G3/CCND1/SGCD/HLA-G/HLA-DRB4/SNTB1/CD40/RAC2/ITGAL/FYN/HLA-DRB1/HLA-B/SGCB/HLA-DMA/MYH7/HLA-DRA/SGCG",32
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","35/1870","72/6792",0.486111111111111,1.76559714795009,4.02530490443765,0.000105592782849417,0.00154301988239854,0.00107189914475737,"ILK/PLTP/RXRA/PLIN4/PPARA/SLC27A4/SLC27A1/SORBS1/UBC/ACAA1/PLIN1/ACOX1/ACOX2/ACSL1/ACOX3/FABP3/ACSL4/PLIN5/RXRB/ANGPTL4/SCD/CD36/ADIPOQ/NR1H3/FABP4/ACSBG1/ACSL5/PPARG/APOA1/LPL/SLC27A6/GK/ACSL6/HMGCS2/APOA2",35
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","79/1870","199/6792",0.396984924623116,1.44188321285572,3.89950397318986,0.000109136664277272,0.00154301988239854,0.00107189914475737,"ITPR1/ILK/TLN1/RHOA/PIK3R1/ARPC4/MAP1LC3B/ACTB/PRKCD/PLCD3/ITGA5/MYL9/CAPNS1/WASF2/PXN/AKT1S1/CYTH3/VDAC1/SQSTM1/WASL/PLCD1/UBC/FOXO1/CYCS/C3/ACTR2/ELMO2/FNBP1/IKBKB/TNFRSF1A/BTRC/BECN1/PRKCE/BCL2L1/NFKB1/TLR4/ARPC2/WIPI1/CAST/MYL10/CYTH1/MYL5/DOCK1/ELMO1/TLN2/NFKBIA/PFN1/MAPK1/U2AF1L4/HK1/BCL2/ACTN1/SRC/CD44/JUN/TECPR1/AKT3/VCL/HKDC1/ITPR2/PRKCQ/HCLS1/IL1R1/FBXW11/EGFR/CRK/BCAR1/PIK3CD/UBE2D3/CYTH4/NLRP3/MAPK14/TP53/PLCD4/ARHGEF2/PLCE1/ITGB1/MYL2/CD14",79
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","39/1870","83/6792",0.469879518072289,1.70664261323368,3.99233372611888,0.000111168579423526,0.00154301988239854,0.00107189914475737,"ITGA7/TCF7L2/ACTB/ITGA5/CTNNB1/SSPN/CTNNA1/DAG1/LAMA2/ITGB3/ITGB4/LMNA/TCF7L1/DES/CACNB2/SNTA1/CTNNA3/ITGA8/CACNB1/SNTB2/SLC8A1/ACTN2/ATP2A3/SGCA/ATP2A2/DMD/ITGA6/SGCD/SNTB1/CACNA1C/ITGA2/LEF1/ITGB1/CACNG3/TCF7/ATP2A1/SGCB/ITGA9/SGCG",39
"Organismal Systems","Immune system","hsa04611","Platelet activation","50/1870","114/6792",0.43859649122807,1.59301998311286,3.93564040199409,0.000118600980255852,0.00158286692879926,0.00109957993840446,"ITPR1/TLN1/RHOA/PIK3R1/ACTB/RASGRP2/GNAQ/STIM1/GNAI2/ADCY9/APBB1IP/RAP1A/VASP/PRKACB/GNAS/ITGB3/ARHGAP35/ADCY6/ADCY4/SNAP23/TLN2/MAPK1/VWF/TBXA2R/SRC/GNA13/AKT3/PTGS1/PRKG1/ITPR2/MYLK/PTGIR/P2RY12/LYN/NOS3/PIK3CD/PLA2G4C/LCP2/MAPK14/ITGA2/PLA2G4A/ADCY5/FYN/FERMT3/ADAMTS13/PIK3R5/FCER1G/ITGB1/P2RX1/PIK3CG",50
"Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","33/1870","68/6792",0.485294117647059,1.76262975778547,3.89557181695886,0.000171971122032349,0.00215397370082322,0.00149631420442444,"ILK/RHOA/PIK3R1/ARPC4/RHOG/ACTB/ITGA5/CLTB/WASF2/DNM2/PXN/CTNNB1/WASL/CTNNA1/ACTR2/ELMO2/GAB1/ARPC2/DOCK1/SHC1/ELMO1/SRC/CTNNA3/SHC3/VCL/FN1/HCLS1/CAV2/CRK/BCAR1/PIK3CD/CBL/ITGB1",33
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","54/1870","127/6792",0.425196850393701,1.5443513411091,3.81678717839738,0.000173894723303174,0.00215397370082322,0.00149631420442444,"ITPR1/PIK3R1/TGFBR2/SIRPA/CSF1/FOSL2/FOS/NFKB2/JUNB/JAK1/CSF1R/SQSTM1/FOSB/IKBKB/TNFRSF1A/TMEM64/ITGB3/NFKB1/MITF/TGFB1/PPP3CB/STAT2/JUND/NFKBIA/MAPK1/IFNGR1/LILRA1/PPP3CC/LILRB3/JUN/CYLD/AKT3/RELB/ATP2A3/ITPR2/ATP2A2/CREB1/SOCS3/IL1R1/LILRA2/PIK3CD/FCGR2C/NCF4/LILRA5/LCP2/PPARG/MAPK14/FYN/LILRA6/SPI1/ATP2A1/LILRB1/BLNK/FHL2",54
