"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","44/2723","72/6792",0.611111111111111,1.52429917982617,3.65853851167336,0.000236826753988139,0.00751386701289641,0.00623228299968787,"CCNE2/CHEK1/CDKN2A/CCNB1/CDK1/PMAIP1/RRM2/CCNB2/GTSE1/ATR/CCNE1/GADD45B/GORAB/CDK2/MDM2/CCND2/PIDD1/PPM1D/TSC2/CASP3/SHISA5/CYCS/IGF1/FAS/BCL2L1/APAF1/THBS1/ZMAT3/SESN2/CCND3/SESN3/CHEK2/BCL2/CCNG2/PERP/CD82/SIVA1/MDM4/CCND1/SFN/AIFM2/TP53/TNFRSF10B/RPRM",44
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","78/2723","143/6792",0.545454545454545,1.36053149934898,3.56434643041424,0.00029042494007986,0.00844652534065593,0.0070058647826282,"CCNE2/CHEK1/ITPR1/CDKN2A/CCNA2/CCNB1/CDK1/RRAS/RAD1/PIK3R1/ZFP36L2/FOXM1/CCNB2/TGFBR2/MYBL2/E2F1/E2F3/ATR/SMAD2/CCNE1/HIPK2/RHEB/GADD45B/CDK2/RBL1/MDM2/CCND2/HIPK1/MRAS/VDAC1/VDAC3/TSC2/SQSTM1/SMAD3/ZFP36L1/FOXO1/NRAS/LIN9/RBBP4/BTRC/HIPK3/TGFB3/CALM1/NFKB1/TGFB1/RBL2/MAP2K2/PPP3CB/CCND3/MAPK1/CHEK2/CDC25A/E2F5/HLA-E/PPP3CC/GATA4/ETS1/AKT3/TRPM7/E2F2/ITPR2/CALML6/SLC25A6/MAPKAPK2/CCND1/FBXW11/HLA-G/PIK3CD/ITPR3/CXCL8/MAPK14/TP53/MAPK13/MYC/HLA-B/RB1/CDKN2B/RASSF5",78
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","51/2723","87/6792",0.586206896551724,1.46218040447275,3.54910300926642,0.000338871734532598,0.00909740271937512,0.0075457268823048,"RHOA/TGFBR2/TCF7L2/ACTB/MYL9/WASF2/FGFR1/CTNNB1/SORBS1/HEG1/WASL/MAP3K7/RAP1A/SMAD3/CTNNA1/YES1/NECTIN2/SSX2IP/EGFR/SMURF1/ROCK1/SMURF2/CSNK2B/MYL10/IQGAP1/MYL5/RASIP1/MAPK1/TCF7L1/PTPRM/ACTN1/SRC/CTNNA3/ERBB2/VCL/INSR/CDH1/IGF1R/PTPRB/AFDN/CDH5/FYN/PTPRJ/RAC2/LEF1/BAIAP2/MYL2/TCF7/MET/WASF3/WASF1",51
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","80/2723","149/6792",0.536912751677852,1.33922563694307,3.42488911745023,0.000474049639606246,0.0118173803016128,0.00980177826253516,"LRP1/NR1H2/VPS39/RXRA/SIRPA/DUSP7/VPS18/RAB14/DNMT3A/S1PR1/CASP3/CAMK2D/BSG/STAB1/RAB5B/ARNT/CAMK2G/DUSP5/RAB5A/MFGE8/CD47/ITGB3/PECAM1/PANX1/TGFB1/ATP11B/THBS1/PTPN11/CX3CR1/VPS8/MAP2K2/DOCK1/XKR6/ELMO1/MAPK1/ODC1/AXL/TYRO3/PTGER2/RAB7B/SGK1/PTK2/MERTK/ATP2A3/CD36/ADAM17/CD24/ANO6/NR1H3/ATP2A2/CREB1/P2RY12/MAPKAPK2/TMEM30B/CRK/CH25H/BCAR1/CX3CL1/PTGS2/JAK2/EPO/CAMK2A/TGFBRAP1/PPARG/MAPK14/ADAM9/P2RY2/MAPK13/MEGF11/GULP1/ARG2/PBX1/SIGLEC10/ATP2A1/ATP8A2/STAB2/ARG1/C1QC/DUSP4/TIMD4",80
"Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","61/2723","109/6792",0.559633027522936,1.39589699703848,3.40844716995752,0.000532280778896517,0.012384399455659,0.0102720852067749,"FBXO5/MAD2L1/CCNE2/ITPR1/CCNB1/AURKA/CDK1/BUB1/PTTG1/SMC3/ESPL1/CCNB2/CPEB4/FBXO43/PPP2R5D/AR/YWHAQ/CCNE1/ANAPC11/CDC25C/CDC23/RPS6KA2/CDK2/ANAPC4/SGO1/CPEB2/CDC20/ADCY9/CAMK2D/IGF1/PRKACB/CAMK2G/PPP2R1A/PLK1/BTRC/CALM1/CPEB3/ADCY6/ADCY4/PPP3CB/SMC1A/YWHAE/MAPK1/CPEB1/PPP3CC/PPP2R5B/SMC1B/ITPR2/CALML6/IGF1R/FBXW11/PPP2R1B/MAD1L1/PPP2CB/ITPR3/CAMK2A/PGR/MAPK14/ADCY5/MAPK13/RPS6KA6",61
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","52/2723","92/6792",0.565217391304348,1.40982611889061,3.2374493794794,0.000983130291415479,0.0214445294815001,0.0177868967196879,"CDKN2A/NOTCH2/PIK3R1/NCOR1/CDKN2C/E2F1/E2F3/FOS/MAPK8/MDM2/NCOA3/ARAF/ADCY9/NOTCH1/SP1/NRAS/IGF1/PRKACB/SOS2/GNAS/EGFR/HBEGF/ADCY6/MAP2K2/ADCY4/SHC1/GPER1/DLL3/MAPK1/BCL2/SRC/ERBB2/NOTCH3/SHC3/JUN/PTK2/AKT3/BIK/E2F2/SOS1/IGF1R/JAG1/CCND1/MMP2/PIK3CD/MAPK14/ESR2/TP53/ADCY5/MAPK13/RB1/DLL1",52
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","26/2723","40/6792",0.65,1.6213000367242,3.22375478016308,0.00123318962224211,0.0249455342273137,0.0206907613105452,"CDKN2A/E2F1/E2F3/RASSF1/MDM2/ARAF/NRAS/EGFR/HBEGF/THBS1/MAP2K2/MAPK1/SRC/DAPK1/ERBB2/E2F2/CDH1/MMP1/CCND1/MMP2/FGFR3/VEGFA/CXCL8/TP53/MYC/RB1",26
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","101/2723","199/6792",0.507537688442211,1.26595518909273,3.11487275176506,0.00128658915785572,0.0249455342273137,0.0206907613105452,"TLN1/RHOA/RRAS/PIK3R1/RAPGEF1/CSF1/ACTB/RASGRP2/GNAQ/RGS14/PRKCB/LPAR1/GNAI2/FGFR1/PDGFA/GNAI3/RALB/CSF1R/ADCY9/RAPGEF3/CTNNB1/MRAS/PRKCA/APBB1IP/PRKCI/RAP1A/VASP/FGFR2/NRAS/IGF1/SIPA1L1/GNAS/EGFR/ITGB3/CALM1/THBS1/ENAH/ADCY6/PDGFRB/MAP2K2/ADCY4/RAPGEF2/FGF2/PDGFC/VAV2/TLN2/PFN1/MAPK1/LPAR4/PRKD3/KIT/SRC/GRIN1/PFN2/AKT3/VAV3/RALGDS/FGF1/CALML6/DOCK4/EPHA2/SIPA1/INSR/FGF10/FGF7/ITGB2/CDH1/IGF1R/PDGFB/CRK/BCAR1/AFDN/ITGAM/FGFR3/PIK3CD/FPR1/PDGFD/NGF/VEGFA/GRIN2A/LPAR2/KITLG/TEK/RAC2/LCP2/ITGAL/MAPK14/EFNA5/ADCY5/MAPK13/PRKD1/FLT1/TIAM1/PDGFRA/PLCE1/ITGB1/NGFR/RAPGEF5/MET/RASSF5/GNAO1",101
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","22/2723","33/6792",0.666666666666667,1.66287183253764,3.12242598561065,0.00179230113220056,0.0329217418493682,0.0273065269448839,"RFC4/RFC3/DNA2/RFC5/RPA3/MCM6/POLE2/PCNA/MCM4/MCM2/PRIM1/PRIM2/FEN1/RNASEH2A/POLD3/POLA1/POLA2/POLD4/RNASEH2B/MCM7/MCM3/LIG1",22
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","100/2723","199/6792",0.50251256281407,1.25342097929973,2.96807182382565,0.00205090108906718,0.0335754206385596,0.0278487126394326,"CBX3/ITPR1/UBE2V2/ILK/TLN1/RHOA/FOXO6/PIK3R1/GLMN/ARPC4/MAP1LC3B/ACTB/FNBP1L/PRKCD/PLCD3/ITGA5/MYL9/CAPNS1/MAPK8/MDM2/WASF2/PXN/AKT1S1/ARPC5L/CYTH3/VDAC1/SQSTM1/WASL/MAP3K7/PLCD1/UBC/FOXO1/CYCS/C3/UBE2NL/ACTR2/ELMO2/FNBP1/IKBKB/TNFRSF1A/BTRC/BECN1/EGFR/PRKCE/BCL2L1/NFKB1/TLR4/ARPC2/WIPI1/ROCK1/CAST/MYL10/CYTH1/MYL5/DOCK1/ELMO1/TLN2/NFKBIA/PFN1/MAPK1/U2AF1L4/HK1/BCL2/ACTN1/SRC/CD44/JUN/TECPR1/PFN2/PTK2/AKT3/VCL/HKDC1/TIFA/ITPR2/PRKCQ/HCLS1/IL1R1/FBXW11/CRK/BCAR1/PIK3CD/UBE2D3/CYTH4/BNIP3/TRAF5/ITPR3/NLRP3/CXCL8/MAPK14/TP53/PLCD4/MAPK13/ARHGEF2/CYTH2/PLCE1/ITGB1/MYL2/CD14/WASF1",100
"Metabolism","Lipid metabolism","hsa00564","Glycerophospholipid metabolism","49/2723","88/6792",0.556818181818182,1.38887590558542,3.00353162914601,0.00209894782354965,0.0335754206385596,0.0278487126394326,"AGPAT5/GPD1L/GPD1/PLPP3/LPGAT1/DGKA/ADPRM/PLA2G3/GPAT3/GPD2/PNPLA6/PLPP1/PCYT2/LYPLA1/AGPAT1/PLD1/PLA2G12A/PLD3/ETNK1/PLD4/PLA2G2A/ACHE/PCYT1A/LPCAT2/MBOAT7/GPAM/LPCAT1/MBOAT2/MBOAT1/DGKZ/DGKQ/GPAT2/LPCAT4/CHKA/AGPAT3/PLA2G5/PLPP5/CHPT1/LPIN1/AGPAT2/SGMS2/PLA2G4C/DGKH/ETNK2/PLA2G4A/LPCAT3/CDS1/ETNPPL/PLA1A",49
"Genetic Information Processing","Information processing in viruses","hsa03250","Viral life cycle - HIV-1","29/2723","47/6792",0.617021276595745,1.53904095139122,3.03337814273228,0.00217996862279229,0.0335754206385596,0.0278487126394326,"SERINC3/XPO1/VPS4B/ELL2/CCNT2/PDCD6IP/KAT2B/SAMHD1/CHMP4B/BICD1/CDK9/RANBP2/FEZ1/ELL/APOBEC3B/AFF4/BICD2/PSIP1/CHMP6/CD4/FURIN/CPSF6/MDFIC/MAP1A/APOBEC3C/BST2/CXCR4/MLLT3/MAP1B",29
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","55/2723","101/6792",0.544554455445545,1.35828639786491,2.96751097398489,0.00228735556964422,0.0335754206385596,0.0278487126394326,"ITGA7/ACTB/ITGA5/ADCY9/SSPN/DAG1/LAMA2/IGF1/PRKACB/GNAS/TGFB3/ITGB3/ITGB4/LMNA/TGFB1/ADCY6/ADCY4/ACTC1/DES/CACNB2/SNTA1/ITGA8/CACNB1/SNTB2/SLC8A1/ATP2A3/TPM3/SGCA/TPM2/ATP2A2/DMD/ITGA6/SGCD/SNTB1/TPM1/CACNA1C/TPM4/TTN/MYL3/ITGA2/TNNC1/PLN/ADCY5/ITGB8/ITGB1/MYL2/CACNG3/TNNT2/ATP2A1/SGCB/ITGA9/AGT/MYH7/ADRB1/SGCG",55
"Human Diseases","Cancer: overview","hsa05200","Pathways in cancer","228/2723","493/6792",0.462474645030426,1.15355409072591,2.89598219293306,0.00230891144792387,0.0335754206385596,0.0278487126394326,"CCNE2/SKP2/CDKN2A/CCNA2/MSH6/HDAC2/ZBTB16/NOTCH2/MSH2/GSTM4/CKS1B/RHOA/STAT6/BIRC5/PIK3R1/PMAIP1/IL6ST/TGFBR2/RXRA/EPAS1/GSTM1/E2F1/TCF7L2/STAT3/E2F3/SMAD2/MAX/LAMB2/CKS2/AR/GLI3/CCNE1/GSTM2/GNG7/GADD45B/RASGRP2/NCOA1/GNAQ/FOS/GSTM3/NFKB2/RASSF1/CDK2/MAPK8/PRKCB/LPAR1/RAD51/MDM2/CCND2/IL6R/EDNRB/JAK1/GNAI2/NCOA3/FGFR1/PDGFA/GNAI3/GNG4/STAT5B/RALB/CSF1R/ARAF/ADCY9/CTNNB1/PRKCA/CXCL12/FZD3/BRCA2/SMAD3/CTNNA1/CASP3/FOXO1/FGFR2/NOTCH1/CAMK2D/CYCS/LAMA2/SP1/HSP90AB1/LAMA4/ARNT/NRAS/IGF1/PRKACB/CAMK2G/IKBKB/SOS2/GNAS/EGFR/FAS/POLK/BCL2L1/JAK3/TGFB3/APAF1/CALM1/NFKB1/MITF/PLD1/GNGT1/ROCK1/TGFB1/ADCY6/PDGFRB/MAP2K2/EDNRA/STAT1/ADCY4/FZD6/IFNAR1/STAT2/FGF2/BCL2L11/BCR/APC/PTGER3/NFKBIA/CCND3/HEY1/DLL3/MAPK1/TCF7L1/LPAR4/IL23A/PML/RXRB/BCL2/IFNGR1/KIT/HMOX1/GNG11/CTNNA3/APPL1/STK4/RARB/PTGER2/CTBP1/DAPK1/GNA13/ERBB2/ETS1/NOTCH3/JUN/PTK2/AKT3/BMP4/IL4R/CSF2RA/RALGDS/E2F2/FGF1/SOS1/TPM3/CALML6/RARA/WNT7B/LRP6/PAX8/FN1/APC2/FGF10/ITGA6/FGF7/CDH1/MMP1/IGF1R/AGTR1/JAG1/CCND1/PDGFB/TPR/CRK/ZBTB17/TXNRD2/SUFU/PTGS2/COL4A3/MMP2/FGFR3/DCC/PIK3CD/JAK2/TRAF5/EPO/COL4A2/IL2RG/VEGFA/CBL/GNG12/LPAR2/CXCR4/KITLG/CAMK2A/RAC2/PPARG/GNG2/CXCL8/ESR2/ITGA2/CEBPA/TP53/EDN1/ADCY5/LEF1/FZD9/MYC/NFE2L2/GNG13/IL13RA1/GNG3/PDGFRA/HES1/RASGRP4/SPI1/ITGB1/TCF7/MET/RB1/AGT/HHIP/COL4A4/GSTT1/CDKN2B/BDKRB2/FZD7/DLL1/RASSF5/WNT11",228
"Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","39/2723","68/6792",0.573529411764706,1.43055885593312,2.91890507326272,0.00285761478893056,0.0398923024534706,0.0330881712402486,"ILK/RHOA/PIK3R1/ARPC4/RHOG/ACTB/ITGA5/CLTB/WASF2/DNM2/PXN/ARPC5L/CTNNB1/WASL/CTNNA1/ACTR2/ELMO2/GAB1/ARPC2/DOCK1/SHC1/ELMO1/SRC/CTNNA3/CD2AP/SHC3/PTK2/VCL/FN1/HCLS1/CDH1/CAV2/CRK/BCAR1/PIK3CD/CBL/ITGB1/MET/WASF1",39
"Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","54/2723","100/6792",0.54,1.34692618435549,2.858946012951,0.00318229830925189,0.0420470422201382,0.0348753931851546,"NR1H2/PIK3R1/STAT3/PRKCD/RPS6KA2/MAPK8/PRKCB/PYGM/PPARA/PTPA/SLC27A4/SLC27A1/FOXO1/CREB3L4/ACACB/IKBKB/TNFRSF1A/PRKCE/NFKB1/CREB3/PTPN11/PRKAG1/PPARGC1B/PYGB/MLXIPL/GYS1/NFKBIA/GFPT2/PPP1R3C/G6PC3/PPARGC1A/CREB3L2/AKT3/CD36/PRKAB1/PRKCQ/TBC1D4/MLXIP/NR1H3/INSR/CREB1/SLC2A4/CREB3L1/SOCS3/PRKAA1/PYGL/PPP1R3B/SLC27A2/NOS3/PIK3CD/IRS1/SLC27A6/AGT/RPS6KA6",54
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","60/2723","113/6792",0.530973451327434,1.32441119405653,2.84463253203312,0.00325292303708805,0.0420470422201382,0.0348753931851546,"HDAC2/MED30/NOTCH2/PIK3R1/NCOR1/RXRA/ACTB/PLCD3/MED27/RHEB/NCOA1/PRKCB/MDM2/MED14/ATP1A2/NCOA3/SLC9A1/CTNNB1/PRKCA/TSC2/MED16/PLCD1/KAT2B/FOXO1/NOTCH1/MED17/NRAS/PRKACB/THRB/ITGB3/MAP2K2/STAT1/NCOA2/ATP1B2/RCAN1/MAPK1/RXRB/SRC/GATA4/NOTCH3/AKT3/BMP4/ATP2A3/PFKM/TBC1D4/SLC16A2/ATP2A2/CCND1/PIK3CD/DIO2/PLN/TP53/PLCD4/MYC/THRA/PLCE1/ATP2A1/SLCO1C1/MYH7/RCAN2",60
