"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene_Symbol","Gene_Description","Significance","abs_logFC"
"201373_at",-2.53111054872974,6.00914353357352,-10.7365722119276,1.15062450130739e-16,2.91849380597076e-14,27.5652983577666,"PLEC","plectin","Downregulated",2.53111054872974
"211769_x_at",-1.78850125866054,9.20398385665709,-10.7348626889805,1.15890369563529e-16,2.92441918723722e-14,27.5582581867659,"SERINC3","serine incorporator 3","Downregulated",1.78850125866054
"216267_s_at",-1.60222458178046,6.34254882498975,-10.7065067530192,1.30530604424692e-16,3.2115097259629e-14,27.441441168615,"TMEM115","transmembrane protein 115","Downregulated",1.60222458178046
"208609_s_at",-3.98452619809778,5.2862344535667,-10.653256131856,1.63239052879134e-16,3.86178080529977e-14,27.2218569245721,"TNXB///TNXA","tenascin XB///tenascin XA (pseudogene)","Downregulated",3.98452619809778
"223482_at",-2.29491399102926,6.93960822819064,-10.6232129515463,1.85209521042501e-16,4.29887023676337e-14,27.0978514618953,"TMEM120A","transmembrane protein 120A","Downregulated",2.29491399102926
"214279_s_at",-4.28710491165688,6.94223998389001,-10.589013440065,2.13861707058209e-16,4.82729037578591e-14,26.956586692196,"NDRG2","NDRG family member 2","Downregulated",4.28710491165688
"201683_x_at",-1.7340834837599,6.77792955435644,-10.578483778245,2.23550732734097e-16,5.0229501852268e-14,26.9130707025117,"TOX4","TOX high mobility group box family member 4","Downregulated",1.7340834837599
"200836_s_at",-2.06541434996325,6.71128663679373,-10.5424433903885,2.60179599786273e-16,5.63993725404543e-14,26.7640482870987,"MAP4","microtubule associated protein 4","Downregulated",2.06541434996325
"200649_at",-1.94378246788391,7.81500350660973,-10.4966003016899,3.15621784986308e-16,6.66557990292758e-14,26.5743197962268,"NUCB1","nucleobindin 1","Downregulated",1.94378246788391
"205883_at",-3.39397805189194,6.88006570435057,-10.482858028339,3.34450151319953e-16,7.03302931453031e-14,26.5174079201855,"ZBTB16","zinc finger and BTB domain containing 16","Downregulated",3.39397805189194
"210756_s_at",-3.00247857289094,6.21912559297798,-10.4740475831113,3.47111195093208e-16,7.26821301146872e-14,26.4809115644586,"NOTCH2","notch 2","Downregulated",3.00247857289094
"1565347_s_at",-2.9543714637427,3.63285092905638,-10.4594652826994,3.69134043782976e-16,7.66412611494889e-14,26.4204904733553,"TFE3","transcription factor binding to IGHM enhancer 3","Downregulated",2.9543714637427
"203088_at",-4.6535778904091,6.21713408021925,-10.4548405828935,3.76407671793243e-16,7.78230769156728e-14,26.4013242375873,"FBLN5","fibulin 5","Downregulated",4.6535778904091
"224550_s_at",-3.09858318041161,4.67821732494592,-10.43901152298,4.02411154429485e-16,8.28512371381241e-14,26.3357090039654,"MRVI1","murine retrovirus integration site 1 homolog","Downregulated",3.09858318041161
"214505_s_at",-4.87426115555664,7.6616794585896,-10.4350467299338,4.0920240782763e-16,8.32050532312983e-14,26.3192704733508,"FHL1","four and a half LIM domains 1","Downregulated",4.87426115555664
"209002_s_at",-1.52885805716507,7.44692681786836,-10.4006104076355,4.73250404920584e-16,9.5832233230153e-14,26.1764342310213,"CALCOCO1","calcium binding and coiled-coil domain 1","Downregulated",1.52885805716507
"201234_at",-2.15261768481296,8.36466223623915,-10.2692507068857,8.24888025270749e-16,1.52594981426683e-13,25.6306229868973,"ILK","integrin linked kinase","Downregulated",2.15261768481296
"206649_s_at",-1.6392441074175,6.20316528303209,-10.2604470354712,8.56228186749706e-16,1.57210523826093e-13,25.5939900253181,"TFE3","transcription factor binding to IGHM enhancer 3","Downregulated",1.6392441074175
"203254_s_at",-2.64345586232718,6.48218505058834,-10.2434170854627,9.20289140902437e-16,1.67809286215474e-13,25.5231081674388,"TLN1","talin 1","Downregulated",2.64345586232718
"217844_at",-1.56967174654576,7.71420318649111,-10.2432928827645,9.20773615099028e-16,1.67809286215474e-13,25.5225911229975,"CTDSP1","CTD small phosphatase 1","Downregulated",1.56967174654576
"225272_at",-1.82715886783488,8.05187156102203,-10.2215260258557,1.00976092219174e-15,1.833479915066e-13,25.4319577877987,"SAT2","spermidine/spermine N1-acetyltransferase family member 2","Downregulated",1.82715886783488
"204149_s_at",-3.1985929802365,5.38948754572107,-10.1525537173897,1.35295675800019e-15,2.38619868067797e-13,25.1445107943204,"GSTM4","glutathione S-transferase mu 4","Downregulated",3.1985929802365
"233528_s_at",-2.3500373083012,5.0762079455739,-10.1513014519697,1.36016767258109e-15,2.39034895231064e-13,25.1392882987992,"GATSL3","GATS protein like 3","Downregulated",2.3500373083012
"207704_s_at",-3.09043108023196,4.858438186282,-10.1344265676901,1.46118866586145e-15,2.54066115480722e-13,25.0689002882167,"GAS7","growth arrest specific 7","Downregulated",3.09043108023196
"222129_at",-1.84777836049801,6.44416735617994,-10.1054280348482,1.65270896800894e-15,2.81400865705245e-13,24.9478891106397,"FAM134A","family with sequence similarity 134 member A","Downregulated",1.84777836049801
"215749_s_at",-1.32600276723401,6.79500135818216,-10.1039919587698,1.66282322313722e-15,2.82146697727287e-13,24.9418946079512,"GORASP1","golgi reassembly stacking protein 1","Downregulated",1.32600276723401
"230214_at",-2.74622865316362,5.87530245512597,-10.0866781770609,1.78976964342736e-15,3.0160683165798e-13,24.869610153603,"MRVI1","murine retrovirus integration site 1 homolog","Downregulated",2.74622865316362
"205384_at",-4.28153381444768,6.06632783602267,-10.0656329871389,1.95725640604837e-15,3.23190322055107e-13,24.7817153966347,"FXYD1","FXYD domain containing ion transport regulator 1","Downregulated",4.28153381444768
"203542_s_at",-2.03937605892124,7.70212843913383,-10.0069423863327,2.51229908335203e-15,4.06653621692445e-13,24.5364135920953,"KLF9","Kruppel like factor 9","Downregulated",2.03937605892124
"201551_s_at",-3.20341705801472,7.3872087608327,-10.0030179483132,2.55461394113831e-15,4.09933380871905e-13,24.5200016721855,"LAMP1","lysosomal associated membrane protein 1","Downregulated",3.20341705801472
"210298_x_at",-4.87806973446842,7.06645702895109,-9.98102731978006,2.80531749033998e-15,4.45294379829547e-13,24.4280157018166,"FHL1","four and a half LIM domains 1","Downregulated",4.87806973446842
"1552737_s_at",-2.6069880917944,4.22307572907071,-9.9267419017712,3.53518649619926e-15,5.41918759870644e-13,24.2007867255416,"WWP2","WW domain containing E3 ubiquitin protein ligase 2","Downregulated",2.6069880917944
"200808_s_at",-2.14207909289309,7.26924051929944,-9.92255214583384,3.59888053656762e-15,5.47096157273385e-13,24.1832400974144,"ZYX","zyxin","Downregulated",2.14207909289309
"207838_x_at",-3.24516594172691,4.61741375679514,-9.84238867852081,5.06584818766711e-15,7.35325049470605e-13,23.8472721103783,"PBXIP1","PBX homeobox interacting protein 1","Downregulated",3.24516594172691
"200785_s_at",-2.36188190940158,6.0202216418742,-9.82632161810141,5.42545750610344e-15,7.82904655433525e-13,23.7798794458686,"LRP1","LDL receptor related protein 1","Downregulated",2.36188190940158
"212025_s_at",-1.77974129854611,6.97299250930404,-9.81171516515926,5.77457049855135e-15,8.23712718914447e-13,23.7185975937942,"FLII","FLII, actin remodeling protein","Downregulated",1.77974129854611
"201229_s_at",-1.6605282696001,7.11156547897695,-9.81101128626078,5.79195237962889e-15,8.23712718914447e-13,23.7156440724429,"ARIH2","ariadne RBR E3 ubiquitin protein ligase 2","Downregulated",1.6605282696001
"226738_at",-1.30924423153423,6.52902652406131,-9.76867782071876,6.93995064647279e-15,9.75697575602819e-13,23.537947467081,"WDR81","WD repeat domain 81","Downregulated",1.30924423153423
"214693_x_at",-2.18871996505136,7.43409113254044,-9.76645012443771,7.00632634734301e-15,9.82223078557572e-13,23.5285932270587,"NBPF26///NBPF10///NBPF9///NBPF14","neuroblastoma breakpoint family member 26///neuroblastoma breakpoint family member 10///neuroblastoma breakpoint family member 9///neuroblastoma breakpoint family member 14","Downregulated",2.18871996505136
"1554574_a_at",-2.23753306432963,8.10281318683896,-9.74714234321137,7.60897623584092e-15,1.05766919106504e-12,23.4475045941637,"CYB5R3","cytochrome b5 reductase 3","Downregulated",2.23753306432963
"205200_at",-3.81839145430155,6.98577209887652,-9.72039918294875,8.53061040665554e-15,1.16601596188972e-12,23.335147783171,"EXOSC7///CLEC3B","exosome component 7///C-type lectin domain family 3 member B","Downregulated",3.81839145430155
"200059_s_at",-1.58819880622253,11.3014106923877,-9.70464172461063,9.12528468871151e-15,1.24384455312307e-12,23.268923404998,"RHOA","ras homolog family member A","Downregulated",1.58819880622253
"221473_x_at",-1.58541426897092,9.12839304010416,-9.63677282541324,1.22005218949196e-14,1.60521679380564e-12,22.983505178327,"SERINC3","serine incorporator 3","Downregulated",1.58541426897092
"212045_at",-1.7061175583021,6.73053551319908,-9.57212580719796,1.6093065602031e-14,2.07845532566703e-12,22.7113677588324,"GLG1","golgi glycoprotein 1","Downregulated",1.7061175583021
"223132_s_at",-1.4134483468612,7.75498050853276,-9.53396178155284,1.89533190824524e-14,2.41615536810941e-12,22.5505942754632,"TRIM8","tripartite motif containing 8","Downregulated",1.4134483468612
"200946_x_at",-1.98897426022226,8.08766324889755,-9.51996021307179,2.01261201114749e-14,2.55903357190012e-12,22.4915884051329,"GLUD1","glutamate dehydrogenase 1","Downregulated",1.98897426022226
"212187_x_at",-4.309849975068,8.37768070793503,-9.51153942798581,2.08662434559806e-14,2.63142363086107e-12,22.4560957752187,"PTGDS","prostaglandin D2 synthase","Downregulated",4.309849975068
"212324_s_at",-1.76077299447753,6.10373488461567,-9.50826276935015,2.11615620250839e-14,2.65636985349057e-12,22.4422839343384,"VPS13D","vacuolar protein sorting 13 homolog D","Downregulated",1.76077299447753
"212156_at",-1.48986348526627,6.78283429708525,-9.50056413307007,2.18720290067848e-14,2.72470109199204e-12,22.4098300532756,"VPS39","VPS39, HOPS complex subunit","Downregulated",1.48986348526627
"204277_s_at",-2.24378659183047,4.64241777040934,-9.48579965768357,2.33022091396858e-14,2.86243252467633e-12,22.3475804057357,"TK2","thymidine kinase 2, mitochondrial","Downregulated",2.24378659183047
"202866_at",-1.29191823238826,7.20106864324024,-9.48421600722066,2.34610772863969e-14,2.86463828791993e-12,22.3409027198973,"DNAJB12","DnaJ heat shock protein family (Hsp40) member B12","Downregulated",1.29191823238826
"224669_at",-1.29497778709489,6.80104624807661,-9.47551279943248,2.43537559219958e-14,2.95166322082179e-12,22.3042018905844,"SYS1","Sys1 golgi trafficking protein","Downregulated",1.29497778709489
"204156_at",-2.01716005203135,6.48834212305428,-9.47467707918269,2.44412475856393e-14,2.95498886964755e-12,22.3006774915356,"SIK3","SIK family kinase 3","Downregulated",2.01716005203135
"230313_at",-2.28256600378721,6.07147006567755,-9.45809187508286,2.62442726745e-14,3.1497607938881e-12,22.2307263044545,"","","Downregulated",2.28256600378721
"1552274_at",-2.13577737330313,6.4404095885957,-9.42377988009518,3.04092406699921e-14,3.60565664011639e-12,22.0859609199324,"PXK","PX domain containing serine/threonine kinase like","Downregulated",2.13577737330313
"212647_at",-2.89066998090104,6.79871393760159,-9.4180839585567,3.11621718026636e-14,3.66772940420427e-12,22.0619231234639,"RRAS","related RAS viral (r-ras) oncogene homolog","Downregulated",2.89066998090104
"1566472_s_at",-2.88688711937483,6.16800023059529,-9.41782808361162,3.11964307636981e-14,3.66772940420427e-12,22.0608432449839,"LOC100996506///RETSAT","uncharacterized LOC100996506///retinol saturase","Downregulated",2.88688711937483
"226133_s_at",-1.50262339498372,6.65400763771665,-9.41757096422686,3.12308943922936e-14,3.66772940420427e-12,22.0597581110084,"TBC1D10A","TBC1 domain family member 10A","Downregulated",1.50262339498372
"224064_s_at",-2.63346322857135,4.63102974249794,-9.41413688300163,3.16948674477921e-14,3.68701972223051e-12,22.0452647439873,"DHDDS","dehydrodolichyl diphosphate synthase subunit","Downregulated",2.63346322857135
"227047_x_at",-1.69572544776818,6.76781407594174,-9.41229783548344,3.19461740785647e-14,3.70748912236777e-12,22.037502876804,"ZBTB4","zinc finger and BTB domain containing 4","Downregulated",1.69572544776818
"225372_at",-2.72457399684533,4.74624638236799,-9.39433558794516,3.45082926872443e-14,3.98603182690429e-12,21.9616821140478,"C10orf54","chromosome 10 open reading frame 54","Downregulated",2.72457399684533
"201332_s_at",-2.37199806731683,5.34196111692388,-9.37814582769861,3.69937444675768e-14,4.24324285318427e-12,21.8933286588247,"STAT6","signal transducer and activator of transcription 6","Downregulated",2.37199806731683
"217889_s_at",-3.43560398533644,5.56387749124239,-9.35080362849279,4.1605760375871e-14,4.70692648766025e-12,21.7778585723552,"CYBRD1","cytochrome b reductase 1","Downregulated",3.43560398533644
"222420_s_at",-1.60734215285827,8.35173881233126,-9.32577707220606,4.63310231564763e-14,5.14629945024995e-12,21.6721344842897,"UBE2H","ubiquitin conjugating enzyme E2 H","Downregulated",1.60734215285827
"212249_at",-2.26422860143583,6.84660066415885,-9.31839328116759,4.78253596083535e-14,5.26474825558892e-12,21.640935860623,"PIK3R1","phosphoinositide-3-kinase regulatory subunit 1","Downregulated",2.26422860143583
"208703_s_at",-2.41714704456003,8.89962580903329,-9.30965279829686,4.96568564478365e-14,5.44201544594363e-12,21.6040013509446,"APLP2","amyloid beta precursor like protein 2","Downregulated",2.41714704456003
"229327_s_at",-2.50771616390854,5.60083527339534,-9.30547778595474,5.05563540464954e-14,5.50381972027854e-12,21.5863577505593,"MAF","MAF bZIP transcription factor","Downregulated",2.50771616390854
"211474_s_at",-1.8735411701291,8.49813183000471,-9.30385410544225,5.09105688891006e-14,5.51796555798672e-12,21.5794958476256,"SERPINB6","serpin family B member 6","Downregulated",1.8735411701291
"217730_at",-2.63006991670049,8.20658318835008,-9.30044006399452,5.16634988852824e-14,5.58726547175405e-12,21.5650672082165,"MIR6513///TMBIM1","microRNA 6513///transmembrane BAX inhibitor motif containing 1","Downregulated",2.63006991670049
"211748_x_at",-3.82889606658198,8.74331087413104,-9.29391388196664,5.31339897376032e-14,5.70865553060752e-12,21.5374842689443,"PTGDS","prostaglandin D2 synthase","Downregulated",3.82889606658198
"208699_x_at",-2.74000102968091,8.14809124165569,-9.29086558989543,5.38351436338409e-14,5.75883894084871e-12,21.5245999431409,"TKT","transketolase","Downregulated",2.74000102968091
"201718_s_at",-2.83734129022912,6.41448028062326,-9.28983863208964,5.40734427826505e-14,5.75928982468806e-12,21.5202591628739,"EPB41L2","erythrocyte membrane protein band 4.1 like 2","Downregulated",2.83734129022912
"222065_s_at",-1.7426906936266,7.82871785036039,-9.27011230947803,5.88617331617359e-14,6.20216124987053e-12,21.4368694877691,"FLII","FLII, actin remodeling protein","Downregulated",1.7426906936266
"200866_s_at",-2.3010501979282,10.3028823142241,-9.23915338057814,6.72482595262352e-14,6.98119220782163e-12,21.3059589971895,"PSAP","prosaposin","Downregulated",2.3010501979282
"212135_s_at",-1.85180297477438,8.12720214241673,-9.21728074292555,7.38860956844767e-14,7.60609437310888e-12,21.2134435593079,"ATP2B4","ATPase plasma membrane Ca2+ transporting 4","Downregulated",1.85180297477438
"201367_s_at",-3.93440967856551,6.50989080260183,-9.21234097127376,7.54739122241696e-14,7.75332943385117e-12,21.1925466580465,"ZFP36L2","ZFP36 ring finger protein like 2","Downregulated",3.93440967856551
"203906_at",-2.33922182079614,6.74940209311859,-9.21051671985045,7.60689011347302e-14,7.7981717044514e-12,21.1848291837996,"IQSEC1","IQ motif and Sec7 domain 1","Downregulated",2.33922182079614
"208248_x_at",-1.70087152091814,9.95267325673101,-9.20718898436408,7.71663974865957e-14,7.88398340242644e-12,21.1707508570495,"APLP2","amyloid beta precursor like protein 2","Downregulated",1.70087152091814
"214266_s_at",-2.65263200707047,4.92105566636808,-9.2065365229606,7.7383435145883e-14,7.88398340242644e-12,21.167990494505,"PDLIM7","PDZ and LIM domain 7","Downregulated",2.65263200707047
"201640_x_at",-1.4029678310174,7.14775832060977,-9.20647823014642,7.74028556794446e-14,7.88398340242644e-12,21.1677438747074,"CLPTM1","CLPTM1, transmembrane protein","Downregulated",1.4029678310174
"36554_at",-1.77435929612695,6.5865382875771,-9.19730938365,8.05191295442175e-14,8.11964425030885e-12,21.1289513084421,"ASMTL","acetylserotonin O-methyltransferase-like","Downregulated",1.77435929612695
"225738_at",-1.61415272884866,6.7509865279009,-9.19729287600565,8.05248520363102e-14,8.11964425030885e-12,21.1288814627471,"RAPGEF1","Rap guanine nucleotide exchange factor 1","Downregulated",1.61415272884866
"207968_s_at",-2.7697771860695,5.35997238656395,-9.15954460812112,9.47373639455189e-14,9.3234829353343e-12,20.9691334835202,"MEF2C","myocyte enhancer factor 2C","Downregulated",2.7697771860695
"200710_at",-1.85829929001275,8.94563546854845,-9.15384021987867,9.70937281421313e-14,9.53630954229512e-12,20.9449876439167,"ACADVL","acyl-CoA dehydrogenase, very long chain","Downregulated",1.85829929001275
"214783_s_at",-1.66567887751903,6.6034320114148,-9.13298434128944,1.06220075306375e-13,1.03295874418988e-11,20.8566962574759,"ANXA11","annexin A11","Downregulated",1.66567887751903
"208704_x_at",-1.84824773277245,9.77750004744321,-9.12996722026016,1.07609706143882e-13,1.04440844383077e-11,20.8439220818773,"APLP2","amyloid beta precursor like protein 2","Downregulated",1.84824773277245
"214730_s_at",-1.58233192113421,8.63367792111556,-9.12420408281126,1.10314948956681e-13,1.06855663254161e-11,20.8195205318231,"GLG1","golgi glycoprotein 1","Downregulated",1.58233192113421
"1552275_s_at",-2.52109880686061,5.8112588010518,-9.12319334808378,1.1079636990077e-13,1.07111138972636e-11,20.8152408677714,"PXK","PX domain containing serine/threonine kinase like","Downregulated",2.52109880686061
"219665_at",-1.89884829824993,4.94757628387037,-9.1049120914841,1.1987658389606e-13,1.14762005131778e-11,20.7378271077681,"NUDT18","nudix hydrolase 18","Downregulated",1.89884829824993
"233350_s_at",-1.89618521074953,5.54736511397447,-9.09991549581908,1.22485670363337e-13,1.16579349740208e-11,20.7166662305386,"TEX264","testis expressed 264","Downregulated",1.89618521074953
"202075_s_at",-3.1634157980267,7.02859596616422,-9.08709504592935,1.29443499370917e-13,1.2249088987586e-11,20.6623664056405,"PLTP","phospholipid transfer protein","Downregulated",3.1634157980267
"46142_at",-1.82862880251841,5.30208312204945,-9.08484165871671,1.30706750624542e-13,1.23283231180297e-11,20.6528217350998,"LMF1","lipase maturation factor 1","Downregulated",1.82862880251841
"228854_at",-4.10097104694816,7.72492806658432,-9.0847083062341,1.30781894194149e-13,1.23283231180297e-11,20.6522568879595,"","","Downregulated",4.10097104694816
"203907_s_at",-1.54293607372679,6.98362110871706,-9.0836502308699,1.31379651832722e-13,1.23609914488198e-11,20.6477751260568,"IQSEC1","IQ motif and Sec7 domain 1","Downregulated",1.54293607372679
"225134_at",-1.64844849098752,6.83731688441964,-9.07090189243416,1.3880071431866e-13,1.29847276606051e-11,20.5937727559573,"SPRYD3","SPRY domain containing 3","Downregulated",1.64844849098752
"211800_s_at",-1.15725404055767,7.82201246356128,-9.06887998776931,1.40015707028115e-13,1.30735349065132e-11,20.5852073359874,"USP4","ubiquitin specific peptidase 4","Downregulated",1.15725404055767
"227043_at",-2.42182279897785,3.81611340743987,-9.06614816163365,1.41674247994624e-13,1.3178383215636e-11,20.5736342221097,"CCDC159","coiled-coil domain containing 159","Downregulated",2.42182279897785
"200646_s_at",-2.67662544928725,6.43301078348617,-9.06388121242287,1.43065491303113e-13,1.32826860953816e-11,20.5640303009012,"NUCB1","nucleobindin 1","Downregulated",2.67662544928725
"200035_at",-1.34562237053791,7.32439538429504,-9.05551526020033,1.48319281316026e-13,1.36929584910275e-11,20.5285863164975,"CTDNEP1","CTD nuclear envelope phosphatase 1","Downregulated",1.34562237053791
"225894_at",-4.7157745324185,5.30433262281715,-9.05492763426484,1.4869549434072e-13,1.37019835019172e-11,20.5260966270958,"SYNPO2","synaptopodin 2","Downregulated",4.7157745324185
"200857_s_at",-1.30478078537587,7.27254808223973,-9.04768537891188,1.5341144785053e-13,1.39536360709446e-11,20.4954111515036,"NCOR1","nuclear receptor corepressor 1","Downregulated",1.30478078537587
"206492_at",-1.7259936240424,5.37758640885675,-9.0254953460902,1.68814770999136e-13,1.52140447555943e-11,20.4013799701319,"FHIT","fragile histidine triad","Downregulated",1.7259936240424
"40850_at",-2.52938398070802,5.64786075838957,-9.02478459297111,1.69332968211815e-13,1.52328471056651e-11,20.3983678321095,"FKBP8","FK506 binding protein 8","Downregulated",2.52938398070802
"211862_x_at",-2.10245309978044,7.04409416342928,-9.01071604907343,1.79924515898017e-13,1.60390319815104e-11,20.3387423398116,"CFLAR","CASP8 and FADD like apoptosis regulator","Downregulated",2.10245309978044
"211000_s_at",-2.3629218912396,5.76323868563422,-9.00877163654347,1.81439675591755e-13,1.61157077921363e-11,20.3305009591505,"IL6ST","interleukin 6 signal transducer","Downregulated",2.3629218912396
"212419_at",-2.81206682765359,7.15201344469936,-9.00243856278187,1.86463843170266e-13,1.65023854871929e-11,20.3036573562934,"ZCCHC24","zinc finger CCHC-type containing 24","Downregulated",2.81206682765359
"1553962_s_at",-3.03409983913295,6.46691774237577,-8.99649521838697,1.91305554863546e-13,1.68400222507523e-11,20.2784644193256,"RHOB","ras homolog family member B","Downregulated",3.03409983913295
"206544_x_at",-2.08020447826494,7.22978219425955,-8.99503568561983,1.92513695900956e-13,1.69161097039256e-11,20.2722774962357,"SMARCA2","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2","Downregulated",2.08020447826494
"212239_at",-1.77746943430534,8.2664028765652,-8.98467429751791,2.0131304626625e-13,1.7626354212853e-11,20.2283537544785,"PIK3R1","phosphoinositide-3-kinase regulatory subunit 1","Downregulated",1.77746943430534
"1555789_s_at",-1.80714197393341,6.41378537846359,-8.97926954483674,2.06061784937563e-13,1.7978160020253e-11,20.2054406282279,"PHF23","PHD finger protein 23","Downregulated",1.80714197393341
"201149_s_at",-3.82110943040372,7.30337009197731,-8.97807382002981,2.07127445513653e-13,1.80072795254246e-11,20.2003712928482,"TIMP3","TIMP metallopeptidase inhibitor 3","Downregulated",3.82110943040372
"207334_s_at",-2.99990335580587,4.52567355726937,-8.97256345226707,2.12110227599389e-13,1.83110666131283e-11,20.1770092001829,"TGFBR2","transforming growth factor beta receptor 2","Downregulated",2.99990335580587
"200793_s_at",-2.34372614296351,8.95034796527036,-8.97073695076666,2.13788213034986e-13,1.83992300307335e-11,20.1692652316693,"ACO2","aconitase 2","Downregulated",2.34372614296351
"203890_s_at",-2.08568883321795,5.54785665538848,-8.96571519721001,2.18470504963045e-13,1.86636773224246e-11,20.1479735271704,"MIR637///DAPK3","microRNA 637///death associated protein kinase 3","Downregulated",2.08568883321795
"209447_at",-2.89974263596935,6.63815601852527,-8.95343314912074,2.30359843308995e-13,1.96112747572763e-11,20.0958954945629,"SYNE1","spectrin repeat containing nuclear envelope protein 1","Downregulated",2.89974263596935
"200947_s_at",-1.63468335737769,8.40323589313658,-8.95151276371743,2.32276553190738e-13,1.97402976733275e-11,20.0877522866516,"GLUD1","glutamate dehydrogenase 1","Downregulated",1.63468335737769
"217817_at",-1.75671668203386,7.86647498722385,-8.94200483838767,2.42004260312211e-13,2.03909308855873e-11,20.0474331297251,"ARPC4","actin related protein 2/3 complex subunit 4","Downregulated",1.75671668203386
"222264_at",-1.61061081871325,6.01783122897481,-8.92744002079617,2.5770312811228e-13,2.16765774786683e-11,19.9856643160217,"HNRNPUL2","heterogeneous nuclear ribonucleoprotein U like 2","Downregulated",1.61061081871325
"210616_s_at",-1.40292191112729,8.66399024834972,-8.91725685381028,2.69281355520246e-13,2.25349109882393e-11,19.9424740439238,"SEC31A","SEC31 homolog A, COPII coat complex component","Downregulated",1.40292191112729
"220946_s_at",-1.69644712195048,4.68576797742305,-8.91144928694093,2.76116411841497e-13,2.30386756327074e-11,19.9178407792495,"SETD2","SET domain containing 2","Downregulated",1.69644712195048
"206453_s_at",-3.91186723865766,7.90082464887421,-8.91119192580634,2.76423295276958e-13,2.30386756327074e-11,19.9167491378698,"NDRG2","NDRG family member 2","Downregulated",3.91186723865766
"204157_s_at",-1.61356660186286,6.46507281323133,-8.90907776353636,2.78957238040032e-13,2.3147805754192e-11,19.9077814815899,"SIK3","SIK family kinase 3","Downregulated",1.61356660186286
"225798_at",-2.13646821816505,7.17977519839692,-8.90581132176563,2.82918076538455e-13,2.33191788814535e-11,19.8939259332713,"JAZF1","JAZF zinc finger 1","Downregulated",2.13646821816505
"202449_s_at",-2.11439814724226,7.75101831310779,-8.89913871584891,2.91185129020559e-13,2.3879846247619e-11,19.8656211886659,"RXRA","retinoid X receptor alpha","Downregulated",2.11439814724226
