"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene_Symbol","Gene_Description","Significance","abs_logFC"
"218757_s_at",2.29736436837247,8.16073881035388,14.187460428761,1.15995791713927e-22,3.34243878956036e-19,41.0826338025361,"UPF3B","UPF3 regulator of nonsense transcripts homolog B (yeast)","Upregulated",2.29736436837247
"223381_at",5.4651863136484,5.9255747639754,14.1735713857404,1.22266950255221e-22,3.34243878956036e-19,41.0312962075007,"NUF2","NUF2, NDC80 kinetochore complex component","Upregulated",5.4651863136484
"213647_at",2.4475358043087,6.05369574709831,14.116302793379,1.51952791971685e-22,3.93533738660562e-19,40.8193416864156,"DNA2","DNA replication helicase/nuclease 2","Upregulated",2.4475358043087
"203316_s_at",1.86376436390421,10.7644669363899,13.9260645694846,3.13757579292896e-22,7.71953460213277e-19,40.112089962268,"SNRPE","small nuclear ribonucleoprotein polypeptide E","Upregulated",1.86376436390421
"218252_at",2.76181723212254,7.52695622244168,13.9021225094954,3.43847057331044e-22,8.05699150004223e-19,40.0227356149466,"CKAP2","cytoskeleton associated protein 2","Upregulated",2.76181723212254
"232065_x_at",2.94654713366086,6.62515011945547,13.8437354303705,4.30018451702608e-22,9.61814452405919e-19,39.8045062977658,"CENPL","centromere protein L","Upregulated",2.94654713366086
"202413_s_at",2.25612178427881,9.83177475741377,13.8129347448305,4.8394625447196e-22,1.03537144973051e-18,39.689200596582,"USP1","ubiquitin specific peptidase 1","Upregulated",2.25612178427881
"203362_s_at",3.97586600734079,7.86046874936262,13.7938753582521,5.20683559412671e-22,1.06755316283414e-18,39.6177860738368,"MAD2L1","MAD2 mitotic arrest deficient-like 1 (yeast)","Upregulated",3.97586600734079
"218662_s_at",3.37499138414462,6.4540176129341,13.7764248541187,5.56782726857632e-22,1.09590430561934e-18,39.5523573008698,"NCAPG","non-SMC condensin I complex subunit G","Upregulated",3.37499138414462
"214221_at",2.31762875616442,6.96336555399381,13.6982047343991,7.52286016231087e-22,1.42375915387243e-18,39.2585789637731,"ALMS1","ALMS1, centrosome and basal body associated protein","Upregulated",2.31762875616442
"203743_s_at",2.35679621194775,8.94483823217717,13.6543510904021,8.90850730417875e-22,1.62355895895083e-18,39.0935162764315,"TDG","thymine DNA glycosylase","Upregulated",2.35679621194775
"223556_at",3.48024945999189,5.67043812287085,13.6091862765271,1.06055361035778e-21,1.81430847443711e-18,38.9232502376208,"HELLS","helicase, lymphoid-specific","Upregulated",3.48024945999189
"219105_x_at",3.32137572448592,7.41636495293833,13.6070708878132,1.0692573365309e-21,1.81430847443711e-18,38.9152688050647,"ORC6","origin recognition complex subunit 6","Upregulated",3.32137572448592
"222606_at",2.28294991691652,7.81972007534388,13.4904223387471,1.67956935971505e-21,2.75488564944996e-18,38.4742280902125,"ZWILCH","zwilch kinetochore protein","Upregulated",2.28294991691652
"209523_at",1.80682288560223,9.00988778340808,13.473354772054,1.79454917835186e-21,2.84337207942951e-18,38.4095450629923,"TAF2","TATA-box binding protein associated factor 2","Upregulated",1.80682288560223
"203209_at",2.18115762442307,7.380200890934,13.4656415162799,1.8490846127938e-21,2.84337207942951e-18,38.3803005205119,"RFC5","replication factor C subunit 5","Upregulated",2.18115762442307
"204531_s_at",2.61829967644385,6.15737107135719,13.3132773769258,3.3453926310483e-21,4.98838591503012e-18,37.8010022288546,"BRCA1","BRCA1, DNA repair associated","Upregulated",2.61829967644385
"234672_s_at",1.95265675713334,8.34030498552263,13.2725468368086,3.92188370649462e-21,5.67600386898473e-18,37.6456226021882,"NDC1","NDC1 transmembrane nucleoporin","Upregulated",1.95265675713334
"205034_at",3.88647657688697,6.99129382026742,13.2291475177967,4.64692614596636e-21,6.49112830513015e-18,37.4798216354209,"CCNE2","cyclin E2","Upregulated",3.88647657688697
"206364_at",4.37002752161417,6.03649273085089,13.2235966686792,4.74893041609294e-21,6.49112830513015e-18,37.4585975298217,"KIF14","kinesin family member 14","Upregulated",4.37002752161417
"229551_x_at",3.79627799674591,6.79873065388242,13.2108343900462,4.99210014585572e-21,6.63908842911141e-18,37.409784601194,"ZNF367","zinc finger protein 367","Upregulated",3.79627799674591
"223257_at",2.23838736376593,6.46661940025603,13.1877799886931,5.46365171426539e-21,7.07499762904887e-18,37.3215523207386,"G2E3","G2/M-phase specific E3 ubiquitin protein ligase","Upregulated",2.23838736376593
"216228_s_at",3.20660150577394,4.78868492667989,13.1733772394055,5.78078506348664e-21,7.29372027228173e-18,37.2663956657392,"WDHD1","WD repeat and HMG-box DNA binding protein 1","Upregulated",3.20660150577394
"228597_at",2.35838423791004,7.202342879075,13.1354266186575,6.70821707116197e-21,8.25228093551667e-18,37.1209300200646,"MIS18A","MIS18 kinetochore protein A","Upregulated",2.35838423791004
"201416_at",4.82276353197242,8.34831794350408,13.1146711833545,7.27748484163005e-21,8.73422430736805e-18,37.0412941457314,"SOX4","SRY-box 4","Upregulated",4.82276353197242
"204026_s_at",3.875916268796,8.52228328771373,13.0522346188935,9.30110088654655e-21,1.06290507410901e-17,36.8013937623298,"ZWINT","ZW10 interacting kinetochore protein","Upregulated",3.875916268796
"1555501_s_at",2.08573063548626,6.64840286600245,13.0499576954975,9.38477971418381e-21,1.06290507410901e-17,36.7926355082198,"RSRC1","arginine and serine rich coiled-coil 1","Upregulated",2.08573063548626
"225297_at",2.46995171450419,8.42658817137703,13.0467406815433,9.5043028960913e-21,1.06290507410901e-17,36.7802600152209,"HAUS1","HAUS augmin like complex subunit 1","Upregulated",2.46995171450419
"226446_at",5.57927803995782,6.4222541619763,13.0221615477093,1.0469633671847e-20,1.14484280909017e-17,36.6856623117318,"HES6","hes family bHLH transcription factor 6","Upregulated",5.57927803995782
"231784_s_at",2.12784024028418,7.39553400128142,12.9751073052771,1.26022575325678e-20,1.3480854052284e-17,36.5043452790107,"DCAF13","DDB1 and CUL4 associated factor 13","Upregulated",2.12784024028418
"207828_s_at",4.19108194726641,6.99958532796688,12.9622298735613,1.32588025134317e-20,1.38814020272007e-17,36.4546737122745,"CENPF","centromere protein F","Upregulated",4.19108194726641
"208838_at",2.1555534045415,8.52192771663124,12.864420765201,1.95127273699168e-20,2.00033911602395e-17,36.0766971510254,"CAND1","cullin associated and neddylation dissociated 1","Upregulated",2.1555534045415
"228401_at",3.11379920818548,6.54360130545118,12.841087126129,2.14006864268487e-20,2.13354515189096e-17,35.9863431550447,"ATAD2","ATPase family, AAA domain containing 2","Upregulated",3.11379920818548
"214224_s_at",2.1068777309099,8.74404269898166,12.837820666485,2.16792849786713e-20,2.13354515189096e-17,35.9736889585861,"PIN4","peptidylprolyl cis/trans isomerase, NIMA-interacting 4","Upregulated",2.1068777309099
"223491_at",2.37144452855956,7.58133202611941,12.80025140334,2.51589658829792e-20,2.42744555726227e-17,35.8280475851749,"COMMD2","COMM domain containing 2","Upregulated",2.37144452855956
"201664_at",3.13808893191547,8.93481301346618,12.7562038066247,2.99629085830515e-20,2.79523090269912e-17,35.6570610367073,"SMC4","structural maintenance of chromosomes 4","Upregulated",3.13808893191547
"213007_at",3.43884029322195,6.88803097795956,12.7549958402389,3.01069436956232e-20,2.79523090269912e-17,35.6523683719598,"FANCI","Fanconi anemia complementation group I","Upregulated",3.43884029322195
"212621_at",2.38617675191165,7.55525832793249,12.6864027023057,3.95419123450389e-20,3.60322014955987e-17,35.3855935217075,"NEMP1","nuclear envelope integral membrane protein 1","Upregulated",2.38617675191165
"227350_at",3.88352464209069,6.3663618602501,12.6613719706386,4.36840054881042e-20,3.9082888328239e-17,35.2880933177035,"HELLS","helicase, lymphoid-specific","Upregulated",3.88352464209069
"221970_s_at",1.90102143832699,8.91021459593531,12.640281885265,4.7511817429793e-20,4.17484642904968e-17,35.2058807769466,"NOL11","nucleolar protein 11","Upregulated",1.90102143832699
"200037_s_at",1.88349406964627,10.7057414344918,12.5819477034419,5.99547268426018e-20,5.17577586621738e-17,34.9781900442594,"CBX3","chromobox 3","Upregulated",1.88349406964627
"203625_x_at",2.45513120310287,7.89261273487629,12.5682924183398,6.3313625480634e-20,5.37150615349234e-17,34.9248281610543,"SKP2","S-phase kinase-associated protein 2, E3 ubiquitin protein ligase","Upregulated",2.45513120310287
"209507_at",2.10316382926017,9.03837549839286,12.5636668971525,6.44938834728013e-20,5.37889919329853e-17,34.9067472730044,"RPA3","replication protein A3","Upregulated",2.10316382926017
"228069_at",3.34414304659145,6.13775294616984,12.5394557396944,7.10432150669386e-20,5.82637247299808e-17,34.8120631030744,"MTFR2","mitochondrial fission regulator 2","Upregulated",3.34414304659145
"204510_at",2.65278413892693,7.03321133367537,12.4673749535673,9.47889246186768e-20,7.5999221514134e-17,34.5297337825947,"CDC7","cell division cycle 7","Upregulated",2.65278413892693
"204162_at",4.87766314964303,6.24068367134577,12.4648359078432,9.57577526343063e-20,7.5999221514134e-17,34.5197767990724,"NDC80","NDC80, kinetochore complex component","Upregulated",4.87766314964303
"221677_s_at",2.12907856177342,7.14406905990495,12.4540279897841,9.99946371896223e-20,7.81021605109483e-17,34.4773839900278,"DONSON","downstream neighbor of SON","Upregulated",2.12907856177342
"214804_at",2.72577990651745,4.98277745580519,12.3469003549131,1.53701153585638e-19,1.18174572882633e-16,34.0563967308986,"CENPI","centromere protein I","Upregulated",2.72577990651745
"203432_at",2.45902800091541,7.90110419981089,12.3344701789383,1.61576698198463e-19,1.20677080780728e-16,34.0074561897557,"TMPO","thymopoietin","Upregulated",2.45902800091541
"202276_at",2.06344996935264,9.45057650196132,12.3340331679747,1.61860859868069e-19,1.20677080780728e-16,34.0057352244184,"SHFM1","split hand/foot malformation (ectrodactyly) type 1","Upregulated",2.06344996935264
"200784_s_at",-3.20343831843069,4.79483038322093,-12.3287883423675,1.65310786810689e-19,1.21409669949158e-16,33.9850790539733,"LRP1","LDL receptor related protein 1","Downregulated",3.20343831843069
"204822_at",4.96800065641146,6.31407187640476,12.3237146004159,1.68718660806639e-19,1.22090281504592e-16,33.9650934229479,"TTK","TTK protein kinase","Upregulated",4.96800065641146
"219294_at",1.99866632076822,5.64817488551703,12.2666454456299,2.12291627410353e-19,1.51394697246105e-16,33.7400761525617,"CENPQ","centromere protein Q","Upregulated",1.99866632076822
"222077_s_at",3.12945193335893,8.3973455311055,12.2475099516543,2.29310259325013e-19,1.61195284722942e-16,33.6645367816208,"RACGAP1","Rac GTPase activating protein 1","Upregulated",3.12945193335893
"238075_at",3.09476676583762,6.09545553786757,12.2344667150053,2.41692010657611e-19,1.65853052152034e-16,33.6130213234212,"CHEK1","checkpoint kinase 1","Upregulated",3.09476676583762
"218350_s_at",2.72172157333985,8.82367149673487,12.2334579138319,2.42677256385199e-19,1.65853052152034e-16,33.609036096448,"GMNN","geminin, DNA replication inhibitor","Upregulated",2.72172157333985
"205644_s_at",1.89076557021188,10.8630502054042,12.2167146714812,2.59633215312512e-19,1.75010570217572e-16,33.5428743008621,"SNRPG","small nuclear ribonucleoprotein polypeptide G","Upregulated",1.89076557021188
"230165_at",3.0566425203966,6.23627665428926,12.1913338757599,2.87640607127709e-19,1.91269342634232e-16,33.4425149703618,"SGO2","shugoshin 2","Upregulated",3.0566425203966
"205361_s_at",1.8453509625178,9.00714541456482,12.1821709722581,2.98483210015786e-19,1.9583284420329e-16,33.4062640801475,"PFDN4","prefoldin subunit 4","Upregulated",1.8453509625178
"206102_at",3.91574120553199,7.02832316852772,12.1571009314719,3.30300385272588e-19,2.13648573756518e-16,33.3070276817883,"GINS1","GINS complex subunit 1","Upregulated",3.91574120553199
"211323_s_at",-3.74186967425575,5.84539612012628,-12.1541073918403,3.34321136814923e-19,2.13648573756518e-16,33.295173010359,"ITPR1","inositol 1,4,5-trisphosphate receptor type 1","Downregulated",3.74186967425575
"226473_at",3.57683995457821,5.26489520393828,12.1368917209046,3.5842018489077e-19,2.26112590229745e-16,33.2269762101752,"CBX2","chromobox 2","Upregulated",3.57683995457821
"204299_at",2.00962904414627,7.96057164430199,12.1329969631614,3.64110554277292e-19,2.26794785371174e-16,33.2115427992719,"SRSF10","serine and arginine rich splicing factor 10","Upregulated",2.00962904414627
"236641_at",4.20393028508735,5.15725001318335,12.1282634993406,3.71148942435347e-19,2.28289075130201e-16,33.1927834282524,"KIF14","kinesin family member 14","Upregulated",4.20393028508735
"204886_at",3.91157637613531,4.91142505427839,12.0832743070229,4.4528122832087e-19,2.70505597555371e-16,33.0143486840141,"PLK4","polo like kinase 4","Upregulated",3.91157637613531
"201360_at",-2.81048891040519,10.4616516549076,-12.066613299864,4.76374607613638e-19,2.85865430693223e-16,32.9482058380068,"CST3","cystatin C","Downregulated",2.81048891040519
"201930_at",2.36838109947389,9.30049592426358,12.0434985061403,5.23167928644581e-19,3.08653810484599e-16,32.8563862222122,"MCM6","minichromosome maintenance complex component 6","Upregulated",2.36838109947389
"205347_s_at",4.60557863178648,6.88372585625749,12.0417479157782,5.26894955610102e-19,3.08653810484599e-16,32.8494296613096,"TMSB15B///TMSB15A","thymosin beta 15B///thymosin beta 15a","Upregulated",4.60557863178648
"207039_at",4.41513308545623,5.42628870040165,12.0268034800467,5.59820301783213e-19,3.24083265762901e-16,32.7900278190111,"CDKN2A","cyclin dependent kinase inhibitor 2A","Upregulated",4.41513308545623
"221258_s_at",3.56571367267627,4.87588984402724,11.9660079915149,7.16564481127193e-19,4.09999865381695e-16,32.5480973415424,"KIF18A","kinesin family member 18A","Upregulated",3.56571367267627
"205909_at",2.71708150535352,6.14532312747629,11.9300234686221,8.29463550205651e-19,4.69142677183557e-16,32.4046907841678,"POLE2","DNA polymerase epsilon 2, accessory subunit","Upregulated",2.71708150535352
"215691_x_at",1.94633529780831,9.70110438619808,11.8787235367978,1.02210334300189e-18,5.71529990898795e-16,32.1999812980565,"HSPB11","heat shock protein family B (small) member 11","Upregulated",1.94633529780831
"205260_s_at",2.47519942378411,7.42426293886623,11.855403899585,1.12400088139938e-18,6.21446195179992e-16,32.1068220740001,"ACYP1","acylphosphatase 1","Upregulated",2.47519942378411
"218215_s_at",-1.87792271035137,6.30932901632269,-11.8143950904043,1.32864938435501e-18,7.26431669510635e-16,31.9428404341346,"NR1H2","nuclear receptor subfamily 1 group H member 2","Downregulated",1.87792271035137
"235609_at",3.77375634809755,5.70033569191957,11.7997659637254,1.41040777351462e-18,7.62658629794881e-16,31.8842949919152,"BRIP1","BRCA1 interacting protein C-terminal helicase 1","Upregulated",3.77375634809755
"209891_at",3.79479164034524,5.13024168342366,11.7883107498813,1.47794970205311e-18,7.90494249879646e-16,31.8384338852544,"SPC25","SPC25, NDC80 kinetochore complex component","Upregulated",3.79479164034524
"213226_at",3.0711385304343,7.05716372003251,11.7638451944657,1.63331135910708e-18,8.63153785136736e-16,31.7404340585787,"CCNA2","cyclin A2","Upregulated",3.0711385304343
"219148_at",4.61215054463347,6.55407375694921,11.7615239216913,1.64888035854356e-18,8.63153785136736e-16,31.7311322638517,"PBK","PDZ binding kinase","Upregulated",4.61215054463347
"202861_at",-2.92388344439393,6.41168420773572,-11.7505351589016,1.72463544719115e-18,8.93306699473e-16,31.6870895718631,"MIR6883///PER1","microRNA 6883///period circadian clock 1","Downregulated",2.92388344439393
"218039_at",4.13337143483716,8.09004398145027,11.7421450633403,1.7848267442791e-18,9.09364064525946e-16,31.6534527598058,"NUSAP1","nucleolar and spindle associated protein 1","Upregulated",4.13337143483716
"201202_at",2.33807833910788,9.49446448347813,11.7410827972179,1.79259687156333e-18,9.09364064525946e-16,31.6491934314955,"PCNA","proliferating cell nuclear antigen","Upregulated",2.33807833910788
"222843_at",2.14939117674637,7.37308538280758,11.7222652795823,1.93602683928823e-18,9.72102782457712e-16,31.5737196963937,"FIGNL1","fidgetin like 1","Upregulated",2.14939117674637
"223229_at",3.61851588044365,7.0928466618108,11.6699291699432,2.39869585824455e-18,1.19224875855192e-15,31.3635920240956,"UBE2T","ubiquitin conjugating enzyme E2 T","Upregulated",3.61851588044365
"231855_at",2.72612944142411,5.26812851096198,11.6496392479809,2.60669508471336e-18,1.2826764503349e-15,31.2820432448668,"KIAA1524","KIAA1524","Upregulated",2.72612944142411
"202867_s_at",-1.75767071246367,6.69643669511389,-11.6193260799645,2.95177374389278e-18,1.43385483837765e-15,31.1601207349478,"DNAJB12","DnaJ heat shock protein family (Hsp40) member B12","Downregulated",1.75767071246367
"228033_at",4.33347934231892,5.73522354935069,11.6156380363472,2.99678163947359e-18,1.43385483837765e-15,31.1452798450747,"E2F7","E2F transcription factor 7","Upregulated",4.33347934231892
"209302_at",1.72356906567753,8.64809770805264,11.6152674452434,3.00134225522583e-18,1.43385483837765e-15,31.1437884796778,"POLR2H","RNA polymerase II subunit H","Upregulated",1.72356906567753
"204354_at",1.61139114658354,7.74411557440446,11.5706911933406,3.60414236151326e-18,1.70527916522099e-15,30.9642858841652,"POT1","protection of telomeres 1","Upregulated",1.61139114658354
"226936_at",3.29041131981369,7.7116555856251,11.5681053913282,3.64263567195686e-18,1.7070778429522e-15,30.9538662270088,"CENPW","centromere protein W","Upregulated",3.29041131981369
"209644_x_at",3.17827543973328,7.38246230377406,11.5585452169476,3.78858072214768e-18,1.75872350561057e-15,30.9153362563104,"CDKN2A","cyclin dependent kinase inhibitor 2A","Upregulated",3.17827543973328
"206316_s_at",2.77439591135827,6.43664765272735,11.5504413347279,3.91689475190708e-18,1.7910930931924e-15,30.8826673571316,"KNTC1","kinetochore associated 1","Upregulated",2.77439591135827
"203358_s_at",4.20728759462081,6.80534813424572,11.5495601335674,3.93110846149489e-18,1.7910930931924e-15,30.8791145504334,"EZH2","enhancer of zeste 2 polycomb repressive complex 2 subunit","Upregulated",4.20728759462081
"212255_s_at",1.92690022637654,8.28705793188811,11.5322553911211,4.22099659273351e-18,1.90552825081319e-15,30.8093277807322,"ATP2C1","ATPase secretory pathway Ca2+ transporting 1","Upregulated",1.92690022637654
"241704_x_at",1.85781157308212,6.95731171354928,11.518777552221,4.46160741071969e-18,1.9958392350844e-15,30.754950625007,"ZNF320","zinc finger protein 320","Upregulated",1.85781157308212
"225834_at",3.60587526220219,7.03710975794861,11.5153675222453,4.52464256539666e-18,2.00580258302228e-15,30.7411893870691,"FAM72A///FAM72D///FAM72B///FAM72C","family with sequence similarity 72 member A///family with sequence similarity 72 member D///family with sequence similarity 72 member B///family with sequence similarity 72 member C","Upregulated",3.60587526220219
"208791_at",-5.37157846016864,8.90311436565443,-11.5107383430137,4.61165079857673e-18,2.02612054326398e-15,30.7225061418975,"CLU","clusterin","Downregulated",5.37157846016864
"219918_s_at",5.80201983843177,5.96676802771446,11.49104001567,5.00112563439916e-18,2.17779105391044e-15,30.6429771024195,"ASPM","abnormal spindle microtubule assembly","Upregulated",5.80201983843177
"201292_at",5.5484765684736,7.0242340300483,11.4753505279386,5.33489994140112e-18,2.29378001233177e-15,30.5796018036587,"TOP2A","topoisomerase (DNA) II alpha","Upregulated",5.5484765684736
"213092_x_at",1.56797237188254,7.03846163506671,11.4725099661612,5.3976842362696e-18,2.29378001233177e-15,30.5681248204261,"DNAJC9","DnaJ heat shock protein family (Hsp40) member C9","Upregulated",1.56797237188254
"202904_s_at",1.88228652878137,6.70007942658032,11.4720765152673,5.40732988051468e-18,2.29378001233177e-15,30.5663734289866,"LSM5","LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated","Upregulated",1.88228652878137
"213088_s_at",1.7419082425126,8.60884062898802,11.456091649445,5.77542544930705e-18,2.42898598362438e-15,30.5017705975315,"DNAJC9","DnaJ heat shock protein family (Hsp40) member C9","Upregulated",1.7419082425126
"202954_at",3.87214584955843,7.37646485835601,11.4339610232621,6.32704969831812e-18,2.6384333432639e-15,30.4122823298274,"UBE2C","ubiquitin conjugating enzyme E2 C","Upregulated",3.87214584955843
"202268_s_at",1.57021220333394,9.50981066073939,11.4309411946534,6.40632526713988e-18,2.6490424152954e-15,30.4000669784104,"NAE1","NEDD8 activating enzyme E1 subunit 1","Upregulated",1.57021220333394
"215706_x_at",-3.10925099634931,6.87695562956717,-11.4254944810199,6.55184675685024e-18,2.67890576702696e-15,30.378032181951,"ZYX","zyxin","Downregulated",3.10925099634931
"202911_at",1.64279984252879,8.983232472492,11.4226789992035,6.62836838751277e-18,2.67890576702696e-15,30.3666407899738,"MSH6","mutS homolog 6","Upregulated",1.64279984252879
"218883_s_at",3.49656752038576,7.40286717881408,11.4221856224161,6.64187013183671e-18,2.67890576702696e-15,30.3646445046099,"CENPU","centromere protein U","Upregulated",3.49656752038576
"222740_at",3.38608222046688,6.69355909209421,11.3974529922812,7.355399908556e-18,2.93792049404054e-15,30.2645373264226,"ATAD2","ATPase family, AAA domain containing 2","Upregulated",3.38608222046688
"201833_at",1.81124612977503,9.55376665918938,11.3958749251944,7.40346172823027e-18,2.93792049404054e-15,30.2581476686351,"HDAC2","histone deacetylase 2","Upregulated",1.81124612977503
"235363_at",2.63295664417278,5.93829885922915,11.3486858199389,8.99643565261586e-18,3.54150087326615e-15,30.0669493837451,"","","Upregulated",2.63295664417278
"200893_at",1.26424768725378,11.1108512822437,11.3211307406233,1.00818266527077e-17,3.93727336587131e-15,29.9551893976328,"TRA2B","transformer 2 beta homolog (Drosophila)","Upregulated",1.26424768725378
"203960_s_at",1.71370232339972,7.44941118865394,11.3164887158325,1.02772362592903e-17,3.95693136443803e-15,29.936353698922,"HSPB11","heat shock protein family B (small) member 11","Upregulated",1.71370232339972
"229025_s_at",2.12072025167896,8.05529642668144,11.3161183302519,1.029299113232e-17,3.95693136443803e-15,29.9348507029844,"IMMP1L","inner mitochondrial membrane peptidase subunit 1","Upregulated",2.12072025167896
"218049_s_at",1.65112109073507,8.64264572215339,11.307881057513,1.06497247231104e-17,4.03175568275231e-15,29.9014205993068,"MRPL13","mitochondrial ribosomal protein L13","Upregulated",1.65112109073507
"202184_s_at",1.35920234453635,8.34630435273209,11.3078408191357,1.0651497525917e-17,4.03175568275231e-15,29.9012572778256,"NUP133","nucleoporin 133","Upregulated",1.35920234453635
"225017_at",2.53964539409323,8.45817552755971,11.3042809405915,1.08095178648476e-17,4.06033546240884e-15,29.8868075674344,"CCDC14","coiled-coil domain containing 14","Upregulated",2.53964539409323
"228729_at",4.2179185450931,5.87087838406555,11.2964403473673,1.11659254831526e-17,4.1537632646457e-15,29.8549773442182,"CCNB1","cyclin B1","Upregulated",4.2179185450931
"221521_s_at",3.6872034274818,6.4336081048142,11.2951205451091,1.12270716401707e-17,4.1537632646457e-15,29.8496187205735,"GINS2","GINS complex subunit 2","Upregulated",3.6872034274818
"222958_s_at",4.14268118721409,5.66522632103775,11.2913611290715,1.14030975736535e-17,4.18740464408035e-15,29.8343538021002,"DEPDC1","DEP domain containing 1","Upregulated",4.14268118721409
"1554572_a_at",2.0580508914135,6.63609674908931,11.2763522542152,1.21339701410327e-17,4.42278717577626e-15,29.7733956385304,"SUV39H2","suppressor of variegation 3-9 homolog 2","Upregulated",2.0580508914135
"202633_at",1.88424388740562,8.33450705995289,11.2652444113824,1.27050708355333e-17,4.59690015150064e-15,29.7282655981523,"TOPBP1","topoisomerase (DNA) II binding protein 1","Upregulated",1.88424388740562
"203764_at",4.60817232124678,6.01382894927145,11.258450280012,1.30676379838949e-17,4.69357125747093e-15,29.7006551108236,"DLGAP5","DLG associated protein 5","Upregulated",4.60817232124678
"221842_s_at",2.13470582546285,8.11872327094156,11.255976563158,1.32022171535176e-17,4.70754709763145e-15,29.6906009933052,"LOC100506639///ZNF131","uncharacterized LOC100506639///zinc finger protein 131","Upregulated",2.13470582546285
"235648_at",2.16607453169295,7.38195606868423,11.2497805919191,1.35454533230562e-17,4.79518792566639e-15,29.6654153137707,"ZNF567","zinc finger protein 567","Upregulated",2.16607453169295
"202589_at",4.06009183458008,8.82949517714336,11.2392139429172,1.41516529632428e-17,4.9740027668735e-15,29.6224538857245,"TYMS","thymidylate synthetase","Upregulated",4.06009183458008
"208792_s_at",-5.1089297014776,8.98062733954328,-11.21685489215,1.55258974017062e-17,5.41831796770042e-15,29.5315075713156,"CLU","clusterin","Downregulated",5.1089297014776
"218482_at",1.63598698886763,9.63731489797044,11.2054130206941,1.62803028639946e-17,5.64158354245479e-15,29.4849464345961,"ENY2","ENY2, transcription and export complex 2 subunit","Upregulated",1.63598698886763
"200982_s_at",-2.61316442460769,8.21683729530316,-11.1617930481055,1.95106656738274e-17,6.71371556511905e-15,29.3073118599649,"ANXA6","annexin A6","Downregulated",2.61316442460769
"205063_at",1.70250473957897,6.60017778343967,11.1556197828009,2.00172358921564e-17,6.84019532323154e-15,29.2821558832202,"GEMIN2","gem nuclear organelle associated protein 2","Upregulated",1.70250473957897
